Time;Channel A
(ms);(mV)

0,06505405;193,45680000
0,06569405;193,45680000
0,06633405;197,85150000
0,06697405;193,45680000
0,06761405;197,85150000
0,06825405;197,85150000
0,06889405;193,45680000
0,06953405;197,85150000
0,07017405;197,85150000
0,07081405;197,85150000
0,07145405;193,45680000
0,07209405;193,45680000
0,07273405;197,85150000
0,07337405;197,85150000
0,07401405;193,45680000
0,07465405;197,85150000
0,07529405;197,85150000
0,07593405;197,85150000
0,07657405;193,45680000
0,07721405;197,85150000
0,07785405;197,85150000
0,07849405;197,85150000
0,07913405;197,85150000
0,07977405;197,85150000
0,08041405;193,45680000
0,08105405;193,45680000
0,08169405;197,85150000
0,08233405;193,45680000
0,08297405;193,45680000
0,08361405;193,45680000
0,08425405;193,45680000
0,08489405;197,85150000
0,08553405;193,45680000
0,08617405;197,85150000
0,08681405;197,85150000
0,08745405;197,85150000
0,08809405;197,85150000
0,08873405;193,45680000
0,08937405;197,85150000
0,09001405;197,85150000
0,09065405;193,45680000
0,09129405;197,85150000
0,09193405;193,45680000
0,09257405;197,85150000
0,09321405;193,45680000
0,09385405;197,85150000
0,09449405;193,45680000
0,09513405;197,85150000
0,09577405;197,85150000
0,09641405;197,85150000
0,09705405;197,85150000
0,09769405;197,85150000
0,09833405;197,85150000
0,09897405;197,85150000
0,09961405;197,85150000
0,10025405;197,85150000
0,10089405;197,85150000
0,10153405;197,85150000
0,10217405;193,45680000
0,10281405;197,85150000
0,10345405;197,85150000
0,10409405;197,85150000
0,10473405;193,45680000
0,10537405;193,45680000
0,10601405;197,85150000
0,10665405;197,85150000
0,10729405;193,45680000
0,10793405;193,45680000
0,10857405;193,45680000
0,10921405;197,85150000
0,10985405;197,85150000
0,11049405;193,45680000
0,11113405;193,45680000
0,11177405;193,45680000
0,11241405;197,85150000
0,11305405;193,45680000
0,11369405;193,45680000
0,11433405;193,45680000
0,11497405;197,85150000
0,11561405;197,85150000
0,11625405;193,45680000
0,11689405;193,45680000
0,11753405;197,85150000
0,11817405;193,45680000
0,11881405;197,85150000
0,11945405;197,85150000
0,12009405;197,85150000
0,12073405;193,45680000
0,12137405;197,85150000
0,12201405;197,85150000
0,12265405;193,45680000
0,12329405;197,85150000
0,12393405;197,85150000
0,12457405;197,85150000
0,12521405;197,85150000
0,12585405;197,85150000
0,12649405;197,85150000
0,12713405;193,45680000
0,12777405;193,45680000
0,12841405;193,45680000
0,12905405;197,85150000
0,12969405;197,85150000
0,13033405;197,85150000
0,13097405;197,85150000
0,13161405;197,85150000
0,13225405;197,85150000
0,13289405;197,85150000
0,13353405;193,45680000
0,13417405;197,85150000
0,13481405;193,45680000
0,13545405;193,45680000
0,13609405;197,85150000
0,13673405;197,85150000
0,13737405;197,85150000
0,13801405;193,45680000
0,13865405;197,85150000
0,13929405;193,45680000
0,13993405;193,45680000
0,14057405;197,85150000
0,14121405;197,85150000
0,14185405;197,85150000
0,14249405;197,85150000
0,14313405;197,85150000
0,14377405;197,85150000
0,14441405;197,85150000
0,14505405;197,85150000
0,14569405;193,45680000
0,14633405;193,45680000
0,14697405;193,45680000
0,14761405;197,85150000
0,14825405;193,45680000
0,14889405;197,85150000
0,14953405;197,85150000
0,15017405;193,45680000
0,15081405;197,85150000
0,15145405;197,85150000
0,15209405;197,85150000
0,15273405;197,85150000
0,15337405;197,85150000
0,15401405;193,45680000
0,15465405;197,85150000
0,15529405;193,45680000
0,15593405;197,85150000
0,15657405;193,45680000
0,15721405;197,85150000
0,15785405;193,45680000
0,15849405;197,85150000
0,15913405;193,45680000
0,15977405;197,85150000
0,16041405;197,85150000
0,16105405;197,85150000
0,16169405;197,85150000
0,16233405;197,85150000
0,16297405;197,85150000
0,16361405;193,45680000
0,16425405;197,85150000
0,16489405;193,45680000
0,16553405;197,85150000
0,16617405;197,85150000
0,16681405;193,45680000
0,16745405;197,85150000
0,16809405;197,85150000
0,16873405;197,85150000
0,16937405;193,45680000
0,17001405;197,85150000
0,17065405;193,45680000
0,17129405;197,85150000
0,17193405;197,85150000
0,17257405;197,85150000
0,17321405;193,45680000
0,17385405;197,85150000
0,17449405;197,85150000
0,17513405;197,85150000
0,17577405;197,85150000
0,17641405;197,85150000
0,17705405;197,85150000
0,17769405;193,45680000
0,17833405;197,85150000
0,17897405;197,85150000
0,17961405;193,45680000
0,18025405;197,85150000
0,18089405;197,85150000
0,18153405;197,85150000
0,18217405;197,85150000
0,18281405;197,85150000
0,18345405;197,85150000
0,18409405;197,85150000
0,18473405;193,45680000
0,18537405;197,85150000
0,18601405;197,85150000
0,18665405;197,85150000
0,18729405;197,85150000
0,18793405;197,85150000
0,18857405;197,85150000
0,18921405;197,85150000
0,18985405;197,85150000
0,19049405;197,85150000
0,19113405;197,85150000
0,19177405;197,85150000
0,19241405;197,85150000
0,19305405;197,85150000
0,19369405;193,45680000
0,19433405;197,85150000
0,19497405;197,85150000
0,19561405;197,85150000
0,19625405;193,45680000
0,19689405;193,45680000
0,19753405;197,85150000
0,19817405;197,85150000
0,19881405;197,85150000
0,19945405;193,45680000
0,20009405;197,85150000
0,20073405;197,85150000
0,20137405;193,45680000
0,20201405;193,45680000
0,20265405;197,85150000
0,20329405;197,85150000
0,20393405;193,45680000
0,20457405;197,85150000
0,20521405;197,85150000
0,20585405;197,85150000
0,20649405;197,85150000
0,20713405;193,45680000
0,20777405;193,45680000
0,20841405;193,45680000
0,20905405;193,45680000
0,20969405;197,85150000
0,21033405;197,85150000
0,21097405;197,85150000
0,21161405;197,85150000
0,21225405;197,85150000
0,21289405;197,85150000
0,21353405;197,85150000
0,21417405;197,85150000
0,21481405;197,85150000
0,21545405;197,85150000
0,21609405;197,85150000
0,21673405;193,45680000
0,21737405;193,45680000
0,21801405;197,85150000
0,21865405;193,45680000
0,21929405;193,45680000
0,21993405;197,85150000
0,22057405;197,85150000
0,22121405;197,85150000
0,22185405;197,85150000
0,22249405;197,85150000
0,22313405;197,85150000
0,22377405;197,85150000
0,22441405;193,45680000
0,22505405;197,85150000
0,22569405;197,85150000
0,22633405;197,85150000
0,22697405;197,85150000
0,22761405;193,45680000
0,22825405;197,85150000
0,22889405;193,45680000
0,22953405;197,85150000
0,23017405;197,85150000
0,23081405;197,85150000
0,23145405;197,85150000
0,23209405;197,85150000
0,23273405;197,85150000
0,23337405;193,45680000
0,23401405;197,85150000
0,23465405;197,85150000
0,23529405;193,45680000
0,23593405;197,85150000
0,23657405;197,85150000
0,23721405;197,85150000
0,23785405;197,85150000
0,23849405;197,85150000
0,23913405;197,85150000
0,23977405;197,85150000
0,24041405;197,85150000
0,24105405;197,85150000
0,24169405;197,85150000
0,24233405;197,85150000
0,24297405;197,85150000
0,24361405;197,85150000
0,24425405;197,85150000
0,24489405;197,85150000
0,24553405;193,45680000
0,24617405;197,85150000
0,24681405;197,85150000
0,24745405;193,45680000
0,24809405;197,85150000
0,24873405;193,45680000
0,24937405;193,45680000
0,25001405;197,85150000
0,25065405;197,85150000
0,25129405;197,85150000
0,25193405;197,85150000
0,25257405;197,85150000
0,25321405;197,85150000
0,25385405;197,85150000
0,25449405;197,85150000
0,25513405;197,85150000
0,25577405;197,85150000
0,25641405;197,85150000
0,25705405;197,85150000
0,25769405;197,85150000
0,25833405;197,85150000
0,25897405;197,85150000
0,25961405;197,85150000
0,26025405;197,85150000
0,26089405;197,85150000
0,26153405;193,45680000
0,26217405;197,85150000
0,26281405;197,85150000
0,26345405;193,45680000
0,26409405;193,45680000
0,26473405;197,85150000
0,26537405;197,85150000
0,26601405;197,85150000
0,26665405;197,85150000
0,26729405;197,85150000
0,26793405;197,85150000
0,26857405;197,85150000
0,26921405;197,85150000
0,26985405;197,85150000
0,27049405;197,85150000
0,27113405;197,85150000
0,27177405;193,45680000
0,27241405;197,85150000
0,27305405;197,85150000
0,27369405;197,85150000
0,27433405;197,85150000
0,27497405;197,85150000
0,27561405;197,85150000
0,27625405;197,85150000
0,27689405;197,85150000
0,27753405;197,85150000
0,27817405;197,85150000
0,27881405;193,45680000
0,27945405;197,85150000
0,28009405;197,85150000
0,28073405;197,85150000
0,28137405;197,85150000
0,28201405;193,45680000
0,28265405;197,85150000
0,28329405;193,45680000
0,28393405;193,45680000
0,28457404;197,85150000
0,28521404;193,45680000
0,28585404;197,85150000
0,28649404;197,85150000
0,28713404;197,85150000
0,28777404;197,85150000
0,28841404;197,85150000
0,28905404;197,85150000
0,28969404;197,85150000
0,29033404;197,85150000
0,29097404;197,85150000
0,29161404;197,85150000
0,29225404;193,45680000
0,29289404;197,85150000
0,29353404;197,85150000
0,29417404;197,85150000
0,29481404;197,85150000
0,29545404;193,45680000
0,29609404;193,45680000
0,29673404;197,85150000
0,29737404;197,85150000
0,29801404;197,85150000
0,29865404;197,85150000
0,29929404;197,85150000
0,29993404;197,85150000
0,30057404;197,85150000
0,30121404;193,45680000
0,30185404;197,85150000
0,30249404;197,85150000
0,30313404;197,85150000
0,30377404;197,85150000
0,30441404;197,85150000
0,30505404;193,45680000
0,30569404;197,85150000
0,30633404;197,85150000
0,30697404;197,85150000
0,30761404;197,85150000
0,30825404;197,85150000
0,30889404;197,85150000
0,30953404;197,85150000
0,31017404;197,85150000
0,31081404;197,85150000
0,31145404;197,85150000
0,31209404;197,85150000
0,31273404;197,85150000
0,31337404;197,85150000
0,31401404;197,85150000
0,31465404;197,85150000
0,31529404;197,85150000
0,31593404;197,85150000
0,31657404;197,85150000
0,31721404;197,85150000
0,31785404;197,85150000
0,31849404;197,85150000
0,31913404;197,85150000
0,31977404;193,45680000
0,32041404;197,85150000
0,32105404;197,85150000
0,32169404;193,45680000
0,32233404;197,85150000
0,32297404;197,85150000
0,32361404;197,85150000
0,32425404;197,85150000
0,32489404;197,85150000
0,32553404;197,85150000
0,32617404;197,85150000
0,32681404;197,85150000
0,32745404;197,85150000
0,32809404;197,85150000
0,32873404;197,85150000
0,32937404;197,85150000
0,33001404;197,85150000
0,33065404;197,85150000
0,33129404;197,85150000
0,33193404;197,85150000
0,33257404;197,85150000
0,33321404;197,85150000
0,33385404;197,85150000
0,33449404;197,85150000
0,33513404;193,45680000
0,33577404;197,85150000
0,33641404;197,85150000
0,33705404;197,85150000
0,33769404;197,85150000
0,33833404;197,85150000
0,33897404;197,85150000
0,33961404;197,85150000
0,34025404;197,85150000
0,34089404;197,85150000
0,34153404;197,85150000
0,34217404;193,45680000
0,34281404;197,85150000
0,34345404;197,85150000
0,34409404;197,85150000
0,34473404;197,85150000
0,34537404;197,85150000
0,34601404;197,85150000
0,34665404;197,85150000
0,34729404;197,85150000
0,34793404;197,85150000
0,34857404;197,85150000
0,34921404;197,85150000
0,34985404;197,85150000
0,35049404;197,85150000
0,35113404;197,85150000
0,35177404;197,85150000
0,35241404;197,85150000
0,35305404;197,85150000
0,35369404;197,85150000
0,35433404;197,85150000
0,35497404;193,45680000
0,35561404;197,85150000
0,35625404;197,85150000
0,35689404;197,85150000
0,35753404;197,85150000
0,35817404;197,85150000
0,35881404;197,85150000
0,35945404;197,85150000
0,36009404;193,45680000
0,36073404;197,85150000
0,36137404;197,85150000
0,36201404;197,85150000
0,36265404;193,45680000
0,36329404;197,85150000
0,36393404;193,45680000
0,36457404;197,85150000
0,36521404;197,85150000
0,36585404;197,85150000
0,36649404;197,85150000
0,36713404;193,45680000
0,36777404;197,85150000
0,36841404;197,85150000
0,36905404;193,45680000
0,36969404;193,45680000
0,37033404;197,85150000
0,37097404;197,85150000
0,37161404;193,45680000
0,37225404;197,85150000
0,37289404;197,85150000
0,37353404;197,85150000
0,37417404;197,85150000
0,37481404;197,85150000
0,37545404;193,45680000
0,37609404;197,85150000
0,37673404;197,85150000
0,37737404;193,45680000
0,37801404;197,85150000
0,37865404;197,85150000
0,37929404;197,85150000
0,37993404;197,85150000
0,38057404;197,85150000
0,38121404;197,85150000
0,38185404;197,85150000
0,38249404;197,85150000
0,38313404;197,85150000
0,38377404;197,85150000
0,38441404;197,85150000
0,38505404;193,45680000
0,38569404;197,85150000
0,38633404;197,85150000
0,38697404;197,85150000
0,38761404;197,85150000
0,38825404;197,85150000
0,38889404;197,85150000
0,38953404;197,85150000
0,39017404;197,85150000
0,39081404;197,85150000
0,39145404;193,45680000
0,39209404;197,85150000
0,39273404;197,85150000
0,39337404;197,85150000
0,39401404;197,85150000
0,39465404;197,85150000
0,39529404;193,45680000
0,39593404;197,85150000
0,39657404;197,85150000
0,39721404;197,85150000
0,39785404;197,85150000
0,39849404;197,85150000
0,39913404;193,45680000
0,39977404;197,85150000
0,40041404;197,85150000
0,40105404;197,85150000
0,40169404;197,85150000
0,40233404;197,85150000
0,40297404;197,85150000
0,40361404;197,85150000
0,40425404;197,85150000
0,40489404;197,85150000
0,40553404;197,85150000
0,40617404;197,85150000
0,40681404;197,85150000
0,40745404;197,85150000
0,40809404;197,85150000
0,40873404;197,85150000
0,40937404;193,45680000
0,41001404;197,85150000
0,41065404;197,85150000
0,41129404;197,85150000
0,41193404;197,85150000
0,41257404;197,85150000
0,41321404;197,85150000
0,41385404;197,85150000
0,41449404;197,85150000
0,41513404;197,85150000
0,41577404;197,85150000
0,41641404;197,85150000
0,41705404;197,85150000
0,41769404;197,85150000
0,41833404;197,85150000
0,41897404;197,85150000
0,41961404;197,85150000
0,42025404;197,85150000
0,42089404;197,85150000
0,42153404;197,85150000
0,42217404;197,85150000
0,42281404;197,85150000
0,42345404;197,85150000
0,42409404;197,85150000
0,42473404;197,85150000
0,42537404;197,85150000
0,42601404;197,85150000
0,42665404;197,85150000
0,42729404;197,85150000
0,42793404;197,85150000
0,42857404;197,85150000
0,42921404;197,85150000
0,42985404;193,45680000
0,43049404;197,85150000
0,43113404;197,85150000
0,43177404;197,85150000
0,43241404;193,45680000
0,43305404;197,85150000
0,43369404;197,85150000
0,43433404;193,45680000
0,43497404;197,85150000
0,43561404;197,85150000
0,43625404;197,85150000
0,43689404;197,85150000
0,43753404;197,85150000
0,43817404;197,85150000
0,43881404;197,85150000
0,43945404;193,45680000
0,44009404;197,85150000
0,44073404;193,45680000
0,44137404;197,85150000
0,44201404;197,85150000
0,44265404;197,85150000
0,44329404;197,85150000
0,44393404;197,85150000
0,44457404;197,85150000
0,44521404;193,45680000
0,44585404;193,45680000
0,44649404;197,85150000
0,44713404;197,85150000
0,44777404;197,85150000
0,44841404;197,85150000
0,44905404;197,85150000
0,44969404;193,45680000
0,45033404;197,85150000
0,45097404;197,85150000
0,45161404;197,85150000
0,45225404;197,85150000
0,45289404;197,85150000
0,45353404;197,85150000
0,45417404;197,85150000
0,45481404;197,85150000
0,45545404;197,85150000
0,45609404;197,85150000
0,45673404;197,85150000
0,45737404;197,85150000
0,45801404;197,85150000
0,45865404;202,24610000
0,45929404;197,85150000
0,45993404;197,85150000
0,46057404;197,85150000
0,46121404;193,45680000
0,46185404;197,85150000
0,46249404;193,45680000
0,46313404;197,85150000
0,46377404;197,85150000
0,46441404;197,85150000
0,46505404;197,85150000
0,46569404;197,85150000
0,46633404;193,45680000
0,46697404;193,45680000
0,46761404;193,45680000
0,46825404;197,85150000
0,46889404;197,85150000
0,46953404;197,85150000
0,47017404;197,85150000
0,47081404;197,85150000
0,47145404;197,85150000
0,47209404;193,45680000
0,47273404;197,85150000
